Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Paul Postma,WPG,42,,2,,4,,6,,1,,16,,17,,28,,0,,0,,N/A,,2,,0,,0,,0,,0,,40,,0.05
Andrew Ebbett,PIT,24,,1,,5,,6,,1,,2,,10,,12,,39,,47,,0.453,,0,,0,,0,,0,,0,,21,,0.048
Tanner Glass,NYR,66,,1,,5,,6,,-12,,98,,213,,32,,7,,14,,0.333,,0,,0,,0,,0,,0,,53,,0.019
B.J. Crombeen,ARI,58,,3,,3,,6,,-6,,79,,68,,12,,1,,0,,1,,0,,0,,0,,0,,0,,43,,0.07
Josh Gorges,BUF,46,,0,,6,,6,,-28,,16,,75,,148,,0,,0,,N/A,,0,,0,,0,,1,,0,,28,,0
Zach Boychuk,CAR,31,,3,,3,,6,,0,,4,,40,,9,,0,,0,,N/A,,0,,0,,0,,0,,0,,35,,0.086
Jamie McGinn,BUF,19,,4,,2,,6,,-9,,6,,29,,7,,1,,0,,1,,1,,0,,0,,0,,0,,36,,0.111
Zac Rinaldo,BOS,58,,1,,5,,6,,-9,,102,,216,,20,,1,,2,,0.333,,0,,0,,0,,0,,0,,45,,0.022
Michal Jordan,CAR,38,,2,,4,,6,,-7,,4,,35,,61,,0,,0,,N/A,,2,,0,,0,,0,,0,,44,,0.045
Korbinian Holzer,ANA,34,,0,,6,,6,,3,,25,,117,,53,,0,,0,,N/A,,0,,0,,0,,0,,0,,32,,0
Michael Latta,WAS,53,,0,,6,,6,,4,,68,,91,,14,,160,,175,,0.478,,0,,0,,0,,0,,0,,24,,0
