Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Kevin Hayes,NYR,29,,6,,9,,15,,2,,8,,20,,10,,50,,108,,0.316,,2,,2,,0,,0,,2,,57,,0.105
Nick Foligno,COB,29,,4,,11,,15,,-9,,26,,65,,18,,55,,60,,0.478,,0,,5,,0,,0,,0,,72,,0.056
Nikita Kucherov,TAM,28,,8,,7,,15,,5,,6,,27,,15,,0,,0,,N/A,,3,,4,,0,,0,,2,,68,,0.118
Tomas Fleischmann,MON,29,,7,,8,,15,,6,,16,,12,,10,,8,,12,,0.4,,0,,0,,1,,0,,3,,56,,0.125
Travis Zajac,NJD,24,,6,,9,,15,,6,,10,,29,,15,,257,,220,,0.539,,4,,2,,1,,1,,1,,37,,0.162
Radim Vrbata,VAN,28,,9,,6,,15,,-14,,8,,7,,2,,1,,3,,0.25,,3,,4,,0,,0,,0,,100,,0.09
Mike Ribeiro,NAS,28,,3,,12,,15,,3,,40,,18,,8,,104,,194,,0.349,,0,,3,,0,,0,,0,,22,,0.136
Jason Zucker,MIN,26,,6,,8,,14,,2,,12,,26,,9,,1,,0,,1,,0,,2,,0,,1,,1,,76,,0.079
Ryan Spooner,BOS,27,,5,,9,,14,,-6,,21,,24,,6,,68,,99,,0.407,,3,,4,,0,,0,,1,,42,,0.119
Tobias Rieder,ARI,28,,6,,8,,14,,-6,,6,,17,,7,,5,,6,,0.455,,1,,1,,0,,0,,0,,73,,0.082
Reilly Smith,FLA,28,,7,,7,,14,,1,,4,,38,,14,,0,,0,,N/A,,3,,2,,0,,1,,0,,52,,0.135
Matt Beleskey,BOS,25,,3,,11,,14,,5,,24,,92,,16,,2,,4,,0.333,,0,,0,,0,,0,,0,,48,,0.063
T.J. Oshie,WAS,26,,8,,6,,14,,5,,4,,45,,17,,37,,40,,0.481,,3,,2,,0,,0,,2,,71,,0.113
Jack Eichel,BUF,28,,9,,5,,14,,-4,,6,,22,,10,,151,,208,,0.421,,3,,1,,0,,0,,2,,92,,0.098
Jason Chimera,WAS,26,,7,,7,,14,,-5,,8,,30,,4,,1,,6,,0.143,,3,,3,,1,,0,,0,,58,,0.121
Josh Bailey,NYI,28,,6,,8,,14,,3,,12,,19,,8,,2,,4,,0.333,,3,,1,,0,,0,,0,,42,,0.143
Anders Lee,NYI,29,,4,,10,,14,,0,,10,,71,,12,,0,,0,,N/A,,2,,2,,0,,0,,0,,66,,0.061
Jason Pominville,MIN,26,,3,,11,,14,,7,,6,,8,,9,,18,,18,,0.5,,0,,3,,0,,0,,0,,68,,0.044
David Backes,STL,28,,7,,7,,14,,3,,34,,104,,25,,240,,215,,0.527,,1,,2,,0,,0,,2,,55,,0.127
Drew Stafford,WPG,28,,9,,4,,13,,-10,,8,,31,,4,,15,,15,,0.5,,2,,1,,0,,1,,4,,68,,0.132
Aleksander Barkov,FLA,18,,6,,7,,13,,-2,,4,,16,,9,,142,,140,,0.504,,3,,2,,0,,0,,1,,46,,0.13
Charlie Coyle,MIN,26,,6,,7,,13,,-1,,4,,55,,25,,133,,149,,0.472,,0,,2,,0,,1,,2,,38,,0.158
Cody Eakin,DAL,28,,7,,6,,13,,3,,8,,18,,13,,183,,206,,0.47,,1,,1,,2,,1,,0,,47,,0.149
Jamie McGinn,BUF,28,,5,,8,,13,,-1,,4,,62,,3,,1,,0,,1,,2,,2,,0,,0,,0,,43,,0.116
Mikhail Grabovski,NYI,29,,5,,8,,13,,4,,10,,16,,11,,157,,168,,0.483,,1,,1,,0,,0,,2,,42,,0.119
Sam Bennett,CGY,26,,5,,8,,13,,-2,,2,,40,,8,,45,,57,,0.441,,2,,1,,0,,0,,1,,39,,0.128
Troy Brouwer,STL,28,,5,,8,,13,,2,,27,,78,,12,,30,,29,,0.508,,1,,2,,0,,0,,0,,45,,0.111
Tomas Hertl,SAN,28,,3,,10,,13,,-1,,4,,34,,26,,180,,128,,0.584,,1,,1,,0,,0,,0,,68,,0.044
Jimmy Hayes,BOS,25,,4,,8,,12,,-5,,8,,42,,3,,8,,7,,0.533,,1,,2,,0,,0,,0,,50,,0.08
Benoit Pouliot,EDM,24,,5,,7,,12,,-10,,14,,13,,7,,5,,1,,0.833,,1,,2,,0,,0,,0,,46,,0.109
Zach Parise,MIN,18,,8,,4,,12,,2,,8,,17,,7,,0,,3,,0,,3,,1,,0,,0,,1,,60,,0.133
Jori Lehtera,STL,28,,3,,9,,12,,7,,14,,7,,4,,176,,182,,0.492,,0,,2,,0,,0,,0,,37,,0.081
Chris Kreider,NYR,29,,4,,8,,12,,5,,29,,61,,8,,2,,0,,1,,1,,2,,0,,0,,0,,60,,0.067
Valeri Nichushkin,DAL,26,,4,,8,,12,,5,,4,,7,,10,,0,,0,,N/A,,0,,0,,0,,0,,1,,41,,0.098
Brandon Dubinsky,COB,22,,4,,8,,12,,0,,10,,59,,9,,212,,198,,0.517,,1,,2,,0,,0,,1,,36,,0.111
Nail Yakupov,EDM,22,,2,,10,,12,,-1,,12,,20,,5,,0,,1,,0,,1,,2,,0,,0,,0,,51,,0.039
Brayden Schenn,PHI,26,,6,,6,,12,,-5,,11,,56,,8,,20,,33,,0.377,,3,,1,,0,,0,,2,,60,,0.1
Pierre-Alexandr Parenteau,TOR,28,,8,,4,,12,,-5,,16,,18,,14,,1,,4,,0.2,,4,,1,,0,,0,,1,,52,,0.154
Brett Connolly,BOS,26,,5,,7,,12,,-1,,8,,51,,16,,9,,12,,0.429,,2,,2,,0,,0,,1,,30,,0.167
Connor McDavid,EDM,13,,5,,7,,12,,-4,,6,,5,,3,,55,,96,,0.364,,2,,1,,0,,0,,1,,24,,0.208
Brandon Pirri,FLA,28,,5,,7,,12,,-6,,18,,26,,8,,28,,42,,0.4,,1,,4,,0,,0,,0,,74,,0.068
Nick Bjugstad,FLA,23,,7,,5,,12,,-2,,8,,38,,12,,171,,157,,0.521,,2,,3,,0,,0,,1,,55,,0.127
Derek Stepan,NYR,23,,6,,6,,12,,4,,6,,12,,13,,125,,168,,0.427,,1,,2,,0,,0,,1,,54,,0.111
Marian Hossa,CHI,25,,5,,7,,12,,1,,6,,12,,9,,0,,2,,0,,2,,3,,0,,0,,2,,79,,0.063
Tanner Pearson,LOS,27,,3,,9,,12,,6,,6,,26,,7,,2,,9,,0.182,,1,,1,,0,,0,,1,,50,,0.06
Teuvo Teravainen,CHI,24,,6,,6,,12,,4,,6,,4,,7,,12,,29,,0.293,,1,,3,,0,,0,,3,,40,,0.15
Nikolaj Ehlers,WPG,28,,5,,7,,12,,3,,6,,10,,13,,0,,0,,N/A,,1,,2,,0,,0,,0,,72,,0.069
J.T. Miller,NYR,29,,4,,8,,12,,1,,14,,65,,14,,26,,38,,0.406,,1,,0,,0,,0,,2,,41,,0.098
Rickard Rakell,ANA,25,,6,,6,,12,,-1,,2,,43,,12,,55,,73,,0.43,,1,,3,,0,,0,,1,,53,,0.113
Tyler Johnson,TAM,22,,4,,7,,11,,6,,2,,16,,3,,156,,172,,0.476,,0,,5,,0,,0,,2,,50,,0.08
Mikael Backlund,CGY,27,,4,,7,,11,,-4,,2,,13,,22,,151,,176,,0.462,,0,,2,,0,,0,,1,,45,,0.089
Ales Hemsky,DAL,27,,3,,8,,11,,-1,,4,,11,,11,,1,,1,,0.5,,1,,2,,0,,0,,0,,42,,0.071
Sam Reinhart,BUF,28,,8,,3,,11,,1,,4,,8,,8,,17,,23,,0.425,,2,,0,,0,,0,,3,,53,,0.151
Blake Comeau,COL,29,,4,,7,,11,,-2,,22,,72,,13,,47,,57,,0.452,,0,,0,,1,,0,,0,,34,,0.118
Joffrey Lupul,TOR,23,,8,,3,,11,,-2,,6,,33,,5,,0,,2,,0,,1,,2,,0,,0,,2,,59,,0.136
Alexandre Burrows,VAN,29,,5,,6,,11,,-6,,24,,26,,7,,0,,2,,0,,2,,3,,0,,0,,0,,55,,0.091
Lars Eller,MON,29,,7,,4,,11,,1,,10,,39,,10,,34,,41,,0.453,,1,,0,,1,,0,,1,,50,,0.14
Nazem Kadri,TOR,28,,5,,6,,11,,-3,,31,,47,,13,,246,,221,,0.527,,1,,2,,0,,0,,0,,103,,0.049
Valtteri Filppula,TAM,28,,2,,9,,11,,-10,,16,,14,,11,,234,,185,,0.558,,0,,3,,1,,0,,1,,30,,0.067
Ryan Kesler,ANA,28,,3,,8,,11,,-11,,22,,47,,34,,323,,245,,0.569,,1,,4,,0,,0,,0,,58,,0.052
Matt Moulson,BUF,28,,4,,7,,11,,0,,6,,12,,5,,0,,2,,0,,1,,3,,0,,0,,0,,48,,0.083
